vehicle_id,vehicle_name,vehicle_type,pod_name,pod_id,area_id,latitude,longitude
633,Simone the i30,i30,Rozelle - Terry Street ,494,494,-33.857681,151.171151
634,Sabrina the i30,i30,Balmain - Foy Street ,1080,1080,-33.861565,151.178704
635,Roberto the i30,i30,Cremorne - Winnie Street ,504,504,-33.828435,151.225298
636,Melanie the i30,i30,Clovelly - Arden Street ,486,486,-33.911953,151.258708
637,Iris the i30,i30,Surry Hills - Crown Street near Albion Street ,481,481,-33.883669,151.214295
638,Jeff the i30,i30,Surry Hills - Reservoir Street corner Wright Lane ,480,480,-33.881255,151.209177
639,Karl the i30,i30,Pyrmont - Point Street ,475,475,-33.865599,151.19326
640,Katherine the i30,i30,Darlinghurst - Yurong Street ,128,128,-33.875277,151.2142
641,Nicola the i30,i30,Elizabeth Bay - Elizabeth Bay Road corner Ward Avenue ,473,473,-33.872874,151.22655
642,Ram the i30,i30,Elizabeth Bay - Ithaca Road corner Esplanade ,474,474,-33.870734,151.228553
643,Ricardo the i30,i30,Potts Point - Victoria Street Corner Challis Avenue ,280,280,-33.868848,151.223347
644,Jacan the i30,i30,Darlinghurst - Craigend Street ,131,131,-33.87663,151.22569
645,Steph the i30,i30,Glebe - Ferry Road ,487,487,-33.876463,151.186205
646,Hallee the i30,i30,Haymarket - Quay Street ,155,155,-33.882249,151.203678
647,Myriam the i30,i30,Lavender Bay - Walker Street ,470,470,-33.843055,151.20795
648,Abraham the i30,i30,Kirribilli - Peel Street ,469,469,-33.849809,151.217298
649,Dana the i30,i30,Stanmore - Tupper Street ,471,471,-33.899822,151.168269
650,Lorna the i30,i30,Kingsford - Botany Street ,483,483,-33.924538,151.234618
651,Loretta the i30,i30,Kensington - Todman Avenue corner Anzac Parade ,482,482,-33.910106,151.224851
652,Lorinda the i30,i30,Bondi Junction - Porter Street ,1099,1099,-33.89554,151.251402
653,Melody the i30,i30,Elizabeth Bay - Roslyn Gardens Corner Evans Road ,472,472,-33.872808,151.227939
654,Darryl the Yaris,Yaris,Leichhardt - Flood Street ,492,492,-33.884066,151.149892
655,Milton the Yaris,Yaris,Enmore - London Street ,491,491,-33.896722,151.171199
656,Narelle the Yaris,Yaris,Sydney CBD - Wynyard Lane Car Park ,499,499,-33.865694,151.206583
657,Mindy the Yaris,Yaris,Pyrmont - Murray Street near Pyrmont Street ,1065,1065,-33.8726,151.197353
658,Evette the Yaris,Yaris,Sydney CBD - Wynyard Lane Car Park ,499,499,-33.865694,151.206583
659,Justine the Yaris,Yaris,Enmore - Marian Street ,490,490,-33.900611,151.173356
660,Yuko the i30,i30,Kirribilli - Parkes Street ,502,502,-33.848397,151.215464
661,Zoran the i30,i30,Bondi Junction - Botany Street ,429,429,-33.892939,151.254219
662,Mary the i30,i30,Randwick - Frances Street ,485,485,-33.910405,151.236804
663,Daisy the i30,i30,Sydney CBD - Wynyard Lane Car Park ,499,499,-33.865694,151.206583
664,Zafir the Yaris,Yaris,Paddington - Glenview Lane ,93,93,-33.8794,151.2242
665,Xin the Yaris,Yaris,Surry Hills - Cooper Street corner of Lacey Street ,580,580,-33.886329,151.211324
666,Nelia the Yaris,Yaris,Surry Hills - Commonwealth Street corner Campbell Street ,638,638,-33.880321,151.210896
667,Wilson the Yaris,Yaris,Camperdown - Larkin Street ,1067,1067,-33.885111,151.180812
668,Sharon the Yaris,Yaris,Newtown - Phillip Street ,164,164,-33.896655,151.173216
669,Stanley the Yaris,Yaris,Newtown South - Hawken Street ,773,773,-33.905293,151.175566
671,Kathleen the Yaris,Yaris,Ultimo - Bulwara Road corner Macarthur Street ,1093,1093,-33.880439,151.199019
673,Dermot the Yaris,Yaris,Kings Cross - Greenknowe Avenue ,109,109,-33.871752,151.227515
674,David the Yaris,Yaris,Fairlight - Cohen Street ,520,520,-33.794489,151.27532
675,Helena the Yaris,Yaris,North Sydney - West Street ,618,618,-33.832468,151.205431
676,Kain the Yaris,Yaris,Enmore - Simmons Street ,121,121,-33.8993,151.1736
677,Pierre the Yaris,Yaris,Randwick - Botany Street ,514,514,-33.915017,151.236951
678,Vivian the Yaris,Yaris,Kings Cross -  Kings Cross Train Station ,175,175,-33.874466,151.222268
679,Miryana the Yaris,Yaris,Surry Hills - Riley Street corner of Albion Street ,110,110,-33.8827,151.2132
680,Hayden the Yaris,Yaris,Camperdown - TRIO Apartments ,218,218,-33.883925,151.176057
681,Dominic the Yaris,Yaris,Sydney CBD - Goulburn Street ,97,97,-33.87855,151.20888
682,Effie the Yaris,Yaris,Cremorne - Rangers Road ,505,505,-33.833467,151.225723
683,Morris the Yaris,Yaris,UNSW - D7 Building ,1047,1047,-33.915728,151.227827
684,Heather the Yaris,Yaris,Darlinghurst - Stanley Street ,506,506,-33.876039,151.216986
685,Crystal the Yaris,Yaris,Ashfield - Chandos Street ,508,508,-33.882784,151.131749
686,Frank the Yaris,Yaris,Surry Hills - Commonwealth Street ,509,509,-33.882394,151.210788
687,Jordan the Yaris,Yaris,Ashfield - Pembroke Street ,495,495,-33.888174,151.134413
688,Yusuf the Yaris,Yaris,Darlinghurst - Palmer Street ,511,511,-33.878635,151.216308
